2015-052,PSLV R/B,ASTROSAT|LAPAN-A2|LEMUR-2 JOEL|LEMUR-2 CHRIS|LEMUR-2 JEROEN|LEMUR-2 PETER|EXACTVIEW 9,India,2015-09-28
2015-053,CZ-3B R/B,BEIDOU I2-S,People's Republic of China,2015-09-29
2015-054,ARIANE 5 R/B|ARIANE 5 DEB [SYLDA],SKY MUSTER (NBN1A)|ARSAT 2,Australia,2015-09-30
2015-055,SL-4 R/B,PROGRESS-M 29M,Russia,2015-10-01
2015-056,ATLAS 5 CENTAUR R/B,MORELOS 3,Mexico,2015-10-02
2015-057,N/A,LQSAT|LINGQIAO VIDEO A|LINGQIAO VIDEO B|JILIN 1,People's Republic of China,2015-10-07
2015-058,ATLAS 5 CENTAUR R/B|USA 264 DEB,USA 264|AEROCUBE 5C|AEROCUBE 7|FOX-1|BISONSAT|ARC-1|SNAP-3 ALICE|LMRST-SAT|SNAP-3 EDDIE|PROPCUBE 3|SINOD-D 1|SNAP-3 JIMI|PROPCUBE 1|SINOD-D 3,United States,2015-10-08
2015-059,CZ-3B R/B,APSTAR 9,People's Republic of China,2015-10-16
2015-060,BREEZE-M R/B|BREEZE-M DEB [TANK],TURKSAT 4B,Turkey,2015-10-16
2015-061,N/A,TIANHUI 1-03,People's Republic of China,2015-10-26
2015-062,OBJECT B,OBJECT A,United States,2015-10-31
